"name","overall_rating"
"Bymas","1.04"
"Gizmy","0.98"
"afro","1.08"
"Rainwaker","1.13"
"AZUWU","1.02"
"saffee","1.02"
"snow","1.05"
"piriajr","1.15"
"vsm","1.17"
"biguzera","1.05"
"blameF","1.2"
"JDC","1.11"
"tabseN","1.03"
"gr1ks","1.15"
"faveN","1.08"
"kensizor","1.08"
"npl","1.16"
"esenthial","0.98"
"alex666","1.04"
"s1zzi","0.99"
"latto","1.18"
"saadzin","1.1"
"dumau","1.14"
"MartinezSa","1.12"
"n1ssim","1.02"
"Jee","1.09"
"JamYoung","1.19"
"Moseyuh","1.11"
"Mercury","1.08"
"Zero","1.15"
"JBa","1.11"
"Lake","1.16"
"slaxz-","1.13"
"cass1n","1.08"
"Swisher","1.1"
"NertZ","1.09"
"huNter-","1.01"
"MATYS","1.14"
"SunPayus","1.08"
"HeavyGod","1.16"
"Magnojez","1.16"
"d1Ledez","1.12"
"FL4MUS","1.08"
"Boombl4","0.98"
"zorte","1.07"
"dgt","1.11"
"luchov","1.12"
"HUASOPEEK","1.09"
"maxster","1.1"
"meyern","1.05"
"s1n","1.05"
"Staehr","1.08"
"ryu","1.11"
"phzy","1.14"
"HooXi","0.88"
"jabbi","1.06"
"dem0n","1.09"
"Krabeni","1.06"
"lauNX","1.11"
"cmtry","1.04"
"dziugss","1.08"
"PR","1.1"
"REZ","1.11"
"hypex","1.07"
"Snax","0.91"
"Tauson","1.05"
"donk","1.4"
"tN1R","1.13"
"sh1ro","1.18"
"zont1x","1.07"
"magixx","1.02"
"jks","1.07"
"Vexite","1.11"
"story","1.08"
"nettik","1.18"
"insani","1.18"
"venomzera","1.1"
"brnz4n","1.02"
"LNZ","0.98"
"kl1m","1.22"
"BELCHONOKK","1.07"
"Jame","1.1"
"nota","1.07"
"xiELO","1.08"
"zweih","1.08"
"910","1.07"
"mzinho","1.05"
"bLitz","1.04"
"Techno","1.01"
"cobrazera","1.1"
"mezii","1.07"
"apEX","0.94"
"ropz","1.15"
"flameZ","1.13"
"ZywOo","1.35"
"xelex","1.15"
"Brollan","1.01"
"Spinx","1.11"
"xertioN","1.11"
"torzsi","1.06"
"molodoy","1.16"
"yuurih","1.06"
"FalleN","0.95"
"KSCERATO","1.18"
"YEKINDAR","1.04"
"iM","1.07"
"makazze","1.14"
"b1t","1.14"
"w0nderful","1.11"
"Aleksib","0.92"
"MAJ3R","0.91"
"XANTARES","1.16"
"woxic","1.06"
"Wicadia","1.11"
"soulfly","1.1"
"karrigan","0.87"
"NiKo","1.15"
"TeSeS","1.06"
"m0NESY","1.26"
"kyousuke","1.24"
"max","0.98"
